Player,Nation,From,To,Price
Bryan Fiabema,Norway,Chelsea,Real Sociedad,0.0
Todd Miller,England,Brighton,Bromley,0.0
Max Aarons,England,Norwich,B'mouth,8.1
Jacob Brown,Scotland,Stoke City,Luton,2.9
Ivan Cavaleiro,Angola,Fulham,Lille,0.0
Edson Álvarez,Mexico,Ajax,West Ham United,38.0
Alex Scott,England,Bristol City,B'mouth,23.0
Fraser Alexander,England,Ipswich Town,Bishop's Stortford FC,0.0
Ross Barkley,England,Nice,Luton,0.0
Vini Souza,Brazil,Lommel United,Sheff Utd,12.5
Matt Turner,Lithuania,Arsenal,Nottingham,8.2
Sander Berge,Norway,Sheff Utd,Burnley,13.9
Joel Ideho,Netherlands,Arsenal,ADO Den Haag,0.0
Michal Karbownik,Poland,Brighton,Hertha BSC,2.5
Nikola Vlašić,Croatia,West Ham United,Torino,10.6
Micky van de Ven,Netherlands,VfL Wolfsburg,Tottenham,40.0
Alejo Veliz,Argentina,Rosario,Tottenham,15.0
Tino Livramento,England,Southampton,Newcastle Utd.,37.2
Zach Awe,England,Arsenal,Southampton,0.0
Luka Milivojevic,Serbia,C. Palace,Shabab Al Ahli,0.0
Brooklyn Genesini,England,B'mouth,Swindon Town,0.0
Joe Lumley,England,Middlesbrough,Southampton,0.0
Ainsley Maitland-Niles,England,Arsenal,Lyon,0.0
Gianluca Scamacca,Italy,West Ham United,Atalanta,25.6
Henry Lawrence,England,Chelsea,Standard,0.0
Robert Sánchez,Spain,Brighton,Chelsea,23.0
Yerry Mina,Colombia,Everton,Fiorentina,0.0
Ashley Phillips,England,Blackburn,Tottenham,2.3
Matheus França,Brazil,Flamengo,C. Palace,20.0
Rasmus Højlund,Denmark,Atalanta,Man Utd,73.9
Josko Gvardiol,Croatia,RB Leipzig,Man City,90.0
Harvey Woods,England,Southampton,FC Melksham Town,0.0
Casey Pettit,England,Luton,Maidenhead United,0.0
Axel Disasi,France,Monaco,Chelsea,45.0
